Initial Temperature,Density,Final Pressure,Final Temperature,Velocity
350.0,2.484286357784705,1853.5337694871871,1482.7233208421001,1687.0197679599255
378.0,2.2961207680062543,1720.1090202544983,1484.0122192819636,1686.9674011625007
407.0,2.1285353963071305,1601.9110898146773,1485.7571937455125,1687.2757639596116
436.0,1.9831141392601588,1499.8905308684766,1487.8626375570036,1687.9336150034935
465.0,1.8559503031229594,1411.1955810036511,1490.3101047614844,1688.9230878258477
494.0,1.7435717704454823,1333.231491999469,1493.0417483822782,1690.2278260866444
523.0,1.6446376393043465,1265.1682028740775,1496.1391888519331,1691.8327117578431
552.0,1.5563427460175956,1204.8306460316255,1499.5010439557191,1693.7237361305924
581.0,1.4768185566990384,1150.8087739264313,1503.078112388619,1695.8882534644165
610.0,1.4048124712773473,1102.1844695402856,1506.850776907623,1698.312855304569
639.0,1.3348620447568857,1054.2310157988995,1510.2774641553337,1700.9868383961302
668.0,1.2745070751490466,1013.8150319444071,1514.3096380365773,1703.899494573345
697.0,1.2191563357857524,976.96333519413338,1518.4961803653609,1707.0408707010527
726.0,1.1681675741620363,943.199817271558,1522.8206237171369,1710.4017751652157
755.0,1.1211753537685865,912.28574405029894,1527.2934438037883,1713.9737800293133
784.0,1.0777087240302821,883.87370893184084,1531.9034071954709,1717.7492739170627
813.0,1.0373065747572279,857.61206360205574,1536.6319285525424,1721.7214846304814
842.0,1.0008852600967364,834.44090189030601,1541.6727088288246,1725.884539862928
871.0,0.96461185885445466,810.79249733313532,1546.4521684561466,1730.2335263381385
900.0,0.93198408745831296,790.04106441525664,1551.5724006449402,1734.7645515866482
